Run,AGE,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,cell_line,cell_subtype,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue,treatment
SRR22520672,not applicable,RNA-Seq,51,2993136093,IDB RAS,PRJNA893554,SAMN32028226,Human,1068651626,K7,2DF-protocol,CD14+ FACS-sorted induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",differentiated iMacs,SRX18485139,Illumina HiSeq 4000,not applicable,K7(rep2)_2DF_diff,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:39:00Z,1,"Differentiated 2DF-derived iMACs, cell line K7",not applicable,SRP411250,not applicable,"The generation of iMacs using the 2DF protocol (2DF-iMacs) was performed as it was previously described by [Takata et al.\, 2017]\, with some modifications. Briefly\, iPSCs were expanded on MEFs and depleted from MEFs by culturing them on Matrigel-coated ..."
SRR22520673,not applicable,RNA-Seq,51,2302280301,IDB RAS,PRJNA893554,SAMN32028226,Human,823604927,K7,2DF-protocol,CD14+ FACS-sorted induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",differentiated iMacs,SRX18485138,Illumina HiSeq 4000,not applicable,K7(rep1)_2DF_diff,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:32:00Z,1,"Differentiated 2DF-derived iMACs, cell line K7",not applicable,SRP411250,not applicable,"The generation of iMacs using the 2DF protocol (2DF-iMacs) was performed as it was previously described by [Takata et al.\, 2017]\, with some modifications. Briefly\, iPSCs were expanded on MEFs and depleted from MEFs by culturing them on Matrigel-coated ..."
SRR22520674,not applicable,RNA-Seq,51,3034511832,IDB RAS,PRJNA893554,SAMN32028225,Human,1086857699,K7,EBS-protocol,CD14+ FACS-sorted induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",differentiated iMacs,SRX18485137,Illumina HiSeq 4000,not applicable,K7(rep1)_EBS_diff,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:37:00Z,1,"Differentiated EBS-derived iMACs, cell line K7",not applicable,SRP411250,not applicable,"The generation of iMacs using the EBS protocol (EBS-iMacs) was performed as described earlier [Nenasheva et al.\, 2020]. Briefly\, iPSCs were expanded on MEFs\, collected using collagenase IV in a way to preserve colony integrity\, placed in ultralow adhes..."
SRR22520675,not applicable,RNA-Seq,51,3025816587,IDB RAS,PRJNA893554,SAMN32028224,Human,1089158784,iMA,2DF-protocol,CD14+ FACS-sorted induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",differentiated iMacs,SRX18485136,Illumina HiSeq 4000,not applicable,iMA(rep4)_2DF_diff,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:40:00Z,1,"Differentiated 2DF-derived iMACs, cell line iMA",not applicable,SRP411250,not applicable,"The generation of iMacs using the 2DF protocol (2DF-iMacs) was performed as it was previously described by [Takata et al.\, 2017]\, with some modifications. Briefly\, iPSCs were expanded on MEFs and depleted from MEFs by culturing them on Matrigel-coated ..."
SRR22520676,not applicable,RNA-Seq,51,3806156571,IDB RAS,PRJNA893554,SAMN32028223,Human,1361586330,iMA,EBS-protocol,CD14+ FACS-sorted induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",differentiated iMacs,SRX18485135,Illumina HiSeq 4000,not applicable,iMA(rep4)_EBS_diff,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:45:00Z,1,"Differentiated EBS-derived iMACs, cell line iMA",not applicable,SRP411250,not applicable,"The generation of iMacs using the EBS protocol (EBS-iMacs) was performed as described earlier [Nenasheva et al.\, 2020]. Briefly\, iPSCs were expanded on MEFs\, collected using collagenase IV in a way to preserve colony integrity\, placed in ultralow adhes..."
SRR22520677,not applicable,RNA-Seq,76,937440164,IDB RAS,PRJNA893554,SAMN32028224,Human,360903587,iMA,2DF-protocol,CD14+ FACS-sorted induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",differentiated iMacs,SRX18485134,NextSeq 500,not applicable,iMA(rep3)_2DF_diff,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:27:00Z,1,"Differentiated 2DF-derived iMACs, cell line iMA",not applicable,SRP411250,not applicable,"The generation of iMacs using the 2DF protocol (2DF-iMacs) was performed as it was previously described by [Takata et al.\, 2017]\, with some modifications. Briefly\, iPSCs were expanded on MEFs and depleted from MEFs by culturing them on Matrigel-coated ..."
SRR22520678,not applicable,RNA-Seq,61,1849932360,IDB RAS,PRJNA893554,SAMN32028224,Human,673044342,iMA,2DF-protocol,CD14+ FACS-sorted induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",differentiated iMacs,SRX18485133,Illumina HiSeq 4000,not applicable,iMA(rep2)_2DF_diff,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:31:00Z,1,"Differentiated 2DF-derived iMACs, cell line iMA",not applicable,SRP411250,not applicable,"The generation of iMacs using the 2DF protocol (2DF-iMacs) was performed as it was previously described by [Takata et al.\, 2017]\, with some modifications. Briefly\, iPSCs were expanded on MEFs and depleted from MEFs by culturing them on Matrigel-coated ..."
SRR22520679,not applicable,RNA-Seq,61,2447624573,IDB RAS,PRJNA893554,SAMN32028223,Human,894569613,iMA,EBS-protocol,CD14+ FACS-sorted induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",differentiated iMacs,SRX18485132,Illumina HiSeq 4000,not applicable,iMA(rep2)_EBS_diff,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:32:00Z,1,"Differentiated EBS-derived iMACs, cell line iMA",not applicable,SRP411250,not applicable,"The generation of iMacs using the EBS protocol (EBS-iMacs) was performed as described earlier [Nenasheva et al.\, 2020]. Briefly\, iPSCs were expanded on MEFs\, collected using collagenase IV in a way to preserve colony integrity\, placed in ultralow adhes..."
SRR22520680,not applicable,RNA-Seq,51,2187626844,IDB RAS,PRJNA893554,SAMN32028206,Human,785190498,K7,EBS-protocol,differentiating induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",day 10 of differentiating,SRX18485131,Illumina HiSeq 4000,not applicable,K7_EBS_d+10,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:34:00Z,1,"EBS-derived iMacs, cell line K7, day 10",not applicable,SRP411250,not applicable,"The generation of iMacs using the EBS protocol (EBS-iMacs) was performed as described earlier [Nenasheva et al.\, 2020]. Briefly\, iPSCs were expanded on MEFs\, collected using collagenase IV in a way to preserve colony integrity\, placed in ultralow adhes..."
SRR22520681,not applicable,RNA-Seq,61,2193197843,IDB RAS,PRJNA893554,SAMN32028224,Human,793883329,iMA,2DF-protocol,CD14+ FACS-sorted induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",differentiated iMacs,SRX18485130,Illumina HiSeq 4000,not applicable,iMA(rep1)_2DF_diff,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:33:00Z,1,"Differentiated 2DF-derived iMACs, cell line iMA",not applicable,SRP411250,not applicable,"The generation of iMacs using the 2DF protocol (2DF-iMacs) was performed as it was previously described by [Takata et al.\, 2017]\, with some modifications. Briefly\, iPSCs were expanded on MEFs and depleted from MEFs by culturing them on Matrigel-coated ..."
