sample,samplenum,day,replicate
SRR27022678,1,day14,4
SRR27022679,1,day14,3
SRR27022680,1,day14,2
SRR27022681,1,day14,1
SRR27022682,1,day7,4
SRR27022683,1,day7,3
SRR27022684,1,day7,2
SRR27022685,1,day7,1
SRR27022686,1,day4,4
SRR27022687,1,day4,3
SRR27022688,1,day4,2
SRR27022689,1,day4,1
SRR27022690,1,day2,4
SRR27022691,1,day2,3
SRR27022692,1,day2,2
SRR27022693,1,day2,1
SRR27022694,1,day1,4
SRR27022695,1,day1,3
SRR27022696,1,day1,2
SRR27022697,1,day1,1
SRR27022698,1,day0,4
SRR27022699,1,day0,3
SRR27022700,1,day0,2
SRR27022701,1,day0,1
